## Complete genomes: Viruses (taxid 10239) filtered by host 'bacteria'
"Genome"	"Accession"	"Source information"	"Number of segments"	"Genome length"	"Number of proteins"	"Genome Neighbors"	"Host"	"Date completed"	"Date updated"
Klebsiella phage KP15	NC_014036	-	-	174436 nt	258	-	bacteria	04/13/2010	09/27/2016	
Klebsiella phage KP27	NC_020080	-	-	174413 nt	276	-	bacteria	02/05/2013	09/27/2016	
Klebsiella phage KP32	NC_013647	strain:KP32	-	41119 nt	44	-	bacteria	12/18/2009	05/26/2010	
Klebsiella phage KP34	NC_013649	strain:KP34	-	43809 nt	57	-	bacteria	12/30/2009	04/28/2011	
Klebsiella phage KP36	NC_029099	-	-	49797 nt	79	-	bacteria	02/05/2016	02/05/2016	
Klebsiella phage Kp2	NC_028664	-	-	43963 nt	58	-	bacteria	12/17/2015	12/17/2015	
Klebsiella phage KpV41	NC_028670	-	-	44203 nt	55	-	bacteria	12/17/2015	12/17/2015	
Klebsiella phage KpV475	NC_031025	-	-	42201 nt	51	-	bacteria	09/23/2016	09/23/2016	
Klebsiella phage KpV71	NC_031246	-	-	43267 nt	53	-	bacteria	09/27/2016	09/27/2016	
Klebsiella phage Matisse	NC_028750	-	-	176081 nt	280	-	bacteria	01/05/2016	01/05/2016	
Klebsiella phage NTUH-K2044-K1-1	NC_025418	strain:NTUH-K2044-K1-1	-	43871 nt	35	-	bacteria	11/25/2014	08/18/2015	
Klebsiella phage PKO111	NC_031095	-	-	168758 nt	203	-	bacteria	09/23/2016	09/23/2016	
Klebsiella phage PKP126	NC_031053	-	-	50934 nt	78	-	bacteria	09/23/2016	09/23/2016	
Klebsiella phage Sushi	NC_028774	-	-	48754 nt	76	-	bacteria	01/05/2016	01/05/2016	
Klebsiella phage phiKO2	NC_005857	-	-	51601 nt	64	-	bacteria	04/17/2004	04/17/2009	
Klebsiella phage vB_Kp1	NC_028688	-	-	40114 nt	47	-	bacteria	12/17/2015	12/17/2015	
Klebsiella phage vB_KpnM_KB57	NC_028659	-	-	142987 nt	245	-	bacteria	12/17/2015	12/27/2015	
Klebsiella phage vB_KpnM_KpV477	NC_031087	-	-	168272 nt	275	-	bacteria	09/23/2016	08/24/2017	
Klebsiella phage vB_KpnP_KpV289	NC_028977	-	-	41054 nt	51	-	bacteria	07/28/2015	01/05/2016	
Klebsiella phage vB_KpnP_SU503	NC_028816	-	-	43809 nt	54	-	bacteria	01/05/2016	01/05/2016	
Klebsiella phage vB_KpnP_SU552A	NC_028870	-	-	43595 nt	54	-	bacteria	01/05/2016	01/05/2016	
Kluyvera phage Kvp1	NC_011534	-	-	39472 nt	47	-	bacteria	11/13/2008	02/10/2015	
Lactobacillus phage A2	NC_004112	-	-	43411 nt	61	-	bacteria	12/16/1999	12/19/2007	
Lactobacillus phage CL1	NC_028888	-	-	39474 nt	62	-	bacteria	01/05/2016	06/30/2016	
Lactobacillus phage CL2	NC_028835	-	-	38751 nt	60	-	bacteria	01/05/2016	06/30/2016	
Lactobacillus phage J-1	NC_022756	-	-	40931 nt	63	-	bacteria	11/06/2013	03/06/2014	
Lactobacillus phage JCL1032	NC_019456	-	-	49433 nt	77	-	bacteria	11/16/2012	11/16/2012	
Lactobacillus phage KC5a	NC_007924	-	-	38239 nt	61	-	bacteria	03/27/2006	07/20/2012	
Lactobacillus phage LBR48	NC_027990	-	-	48211 nt	86	-	bacteria	10/07/2015	10/07/2015	
Lactobacillus phage LF1	NC_019486	-	-	42606 nt	57	-	bacteria	11/16/2012	11/16/2012	
Lactobacillus phage LL-H	NC_009554	-	-	34659 nt	51	-	bacteria	06/11/2007	03/11/2010	
Lactobacillus phage Lc-Nu	NC_007501	-	-	36466 nt	51	-	bacteria	10/21/2005	12/01/2009	
Lactobacillus phage Ld17	NC_025420	-	-	32975 nt	50	-	bacteria	11/10/2014	11/10/2014	
Lactobacillus phage Ld25A	NC_025415	-	-	32799 nt	51	-	bacteria	11/10/2014	11/10/2014	
Lactobacillus phage Ld3	NC_025421	-	-	29616 nt	49	-	bacteria	11/10/2014	11/10/2014	
Lactobacillus phage Ldl1	NC_026609	isolate:Ldl1	-	74806 nt	79	-	bacteria	03/04/2015	03/04/2015	
Lactobacillus phage LfeInf	NC_029058	-	-	106071 nt	124	-	bacteria	02/05/2016	02/05/2016	
Lactobacillus phage LfeSau	NC_029068	-	-	31703 nt	50	-	bacteria	02/05/2016	02/05/2016	
Lactobacillus phage Lrm1	NC_011104	strain:M-1	-	39989 nt	54	-	bacteria	08/05/2008	08/06/2008	
Lactobacillus phage Lv-1	NC_011801	-	-	38934 nt	47	-	bacteria	01/06/2009	01/06/2009	
Lactobacillus phage PL-1	NC_022757	-	-	38880 nt	59	-	bacteria	11/06/2013	03/06/2014	
Lactobacillus phage PLE2	NC_031036	-	-	35068 nt	51	-	bacteria	09/23/2016	09/23/2016	
Lactobacillus phage PLE3	NC_031125	-	-	41005 nt	60	-	bacteria	09/23/2016	09/23/2016	
Lactobacillus phage Sha1	NC_019489	-	-	41726 nt	58	-	bacteria	11/16/2012	11/16/2012	
Lactobacillus phage iA2	NC_028830	-	-	34155 nt	50	-	bacteria	01/05/2016	06/30/2016	
Lactobacillus phage iLp1308	NC_028911	-	-	34176 nt	50	-	bacteria	01/05/2016	06/30/2016	
Lactobacillus phage iLp84	NC_028783	-	-	39399 nt	60	-	bacteria	01/05/2016	06/30/2016	
Lactobacillus phage phi jlb1	NC_024206	-	-	38269 nt	54	-	bacteria	01/06/2016	01/07/2016	
Lactobacillus phage phiAQ113	NC_019782	-	-	36566 nt	56	-	bacteria	12/06/2012	10/25/2013	
Lactobacillus phage phiAT3	NC_005893	-	-	39166 nt	55	-	bacteria	06/14/2004	04/17/2009	
Lactobacillus phage phiJB	NC_022775	-	-	36969 nt	46	-	bacteria	01/07/2014	04/20/2016	
Lactobacillus phage phiLdb	NC_022762	-	-	33996 nt	59	-	bacteria	01/07/2014	12/11/2015	
Lactobacillus phage phiPYB5	NC_027982	-	-	32847 nt	46	-	bacteria	10/07/2015	10/10/2015	
Lactobacillus phage phiadh	NC_000896	-	-	43785 nt	63	-	bacteria	08/10/1999	04/22/2009	
Lactobacillus phage phig1e	NC_004305	-	-	42259 nt	60	-	bacteria	04/03/1997	02/10/2015	
Lactobacillus prophage Lj771	NC_010179	-	-	40881 nt	56	-	bacteria	12/26/2007	03/13/2008	
Lactobacillus prophage Lj928	NC_005354	-	-	38384 nt	50	-	bacteria	01/23/2004	05/06/2009	
Lactobacillus prophage Lj965	NC_005355	-	-	40190 nt	46	-	bacteria	01/23/2004	05/06/2009	
Lactobacillus virus ATCC8014	NC_019916	-	-	38002 nt	60	-	bacteria	12/19/2012	12/19/2012	
Lactobacillus virus LLKu	NC_022989	-	-	31080 nt	51	-	bacteria	12/06/2013	12/06/2013	
Lactobacillus virus LP65	NC_006565	-	-	131522 nt	165	-	bacteria	12/17/2004	12/19/2007	
Lactobacillus virus Lb338-1	NC_012530	strain:Lb338-1	-	142111 nt	199	-	bacteria	04/06/2009	11/23/2009	
Lactobacillus virus c5	NC_019449	-	-	31841 nt	50	-	bacteria	11/16/2012	02/15/2013	
Lactobacillus virus phiJL1	NC_006936	-	-	36674 nt	46	-	bacteria	04/07/2005	04/17/2009	
Lactoccocus phage WP-2	NC_024149	isolate:WP-2	-	18899 nt	24	-	bacteria	05/27/2014	11/21/2014	
Lactococcus phage 1358	NC_027120	-	-	36892 nt	43	-	bacteria	05/28/2015	05/28/2015	
Lactococcus phage 1706	NC_010576	-	-	55597 nt	76	-	bacteria	04/11/2008	04/15/2008	
Lactococcus phage 28201	NC_031013	-	-	34396 nt	51	2	bacteria	09/23/2016	09/23/2016	
Lactococcus phage 340	NC_021853	-	-	32337 nt	58	-	bacteria	07/23/2013	07/23/2013	
Lactococcus phage 50101	NC_031040	-	-	31987 nt	51	1	bacteria	09/23/2016	09/23/2016	
Lactococcus phage 63301	NC_031017	-	-	32409 nt	48	-	bacteria	09/23/2016	09/23/2016	
Lactococcus phage 949	NC_015263	-	-	114768 nt	154	-	bacteria	03/29/2011	03/29/2011	
Lactococcus phage 98201	NC_031064	-	-	36202 nt	52	1	bacteria	09/23/2016	09/23/2016	
Lactococcus phage BK5-T	NC_002796	-	-	40003 nt	63	1	bacteria	05/26/2001	02/10/2015	
Lactococcus phage BM13	NC_021861	-	-	30910 nt	55	-	bacteria	07/23/2013	07/23/2013	
Lactococcus phage D4410	NC_031071	strain:D4410	-	22825 nt	40	-	bacteria	09/23/2016	09/23/2016	
Lactococcus phage D4412	NC_031009	strain:D4412	-	22884 nt	40	-	bacteria	09/23/2016	09/23/2016	
Lactococcus phage GE1	NC_029118	-	-	24847 nt	48	-	bacteria	02/05/2016	02/05/2016	
Lactococcus phage M5938	NC_031075	strain:M5938	-	22240 nt	38	-	bacteria	09/23/2016	09/23/2016	
Lactococcus phage M6162	NC_031002	strain:M6162	-	21697 nt	38	3	bacteria	09/23/2016	09/23/2016	
Lactococcus phage M6165	NC_031044	strain:M6165	-	22179 nt	37	-	bacteria	09/23/2016	09/23/2016	
Lactococcus phage P078	NC_024215	-	-	54452 nt	78	-	bacteria	06/02/2014	06/02/2014	
Lactococcus phage P087	NC_012663	-	-	60074 nt	88	-	bacteria	05/08/2009	05/11/2009	
Lactococcus phage P092	NC_024203	-	-	53513 nt	76	-	bacteria	06/02/2014	06/02/2014	
Lactococcus phage P118	NC_024208	-	-	54173 nt	80	-	bacteria	06/02/2014	06/02/2014	
Lactococcus phage P162	NC_024214	-	-	55584 nt	82	-	bacteria	06/02/2014	06/02/2014	
Lactococcus phage P335 sensu lato	NC_004746	sub-species:Lactococcus phage 4268	-	36596 nt	49	2	bacteria	04/24/2003	04/17/2009	
Lactococcus phage P680	NC_021852	-	-	29631 nt	49	-	bacteria	07/23/2013	07/23/2013	
Lactococcus phage PLgT-1	NC_031016	-	-	40273 nt	66	-	bacteria	09/23/2016	09/23/2016	
Lactococcus phage Q54	NC_008364	-	-	26537 nt	47	68	bacteria	09/22/2006	05/18/2007	
Lactococcus phage TP901-1	NC_002747	-	-	37667 nt	56	-	bacteria	04/18/2001	02/10/2015	
Lactococcus phage Tuc2009	NC_002703	sub-species:cremoris UC509	-	38347 nt	56	-	bacteria	06/08/1999	02/10/2015	
Lactococcus phage WRP3	NC_027341	isolate:WRP3	-	130008 nt	178	-	bacteria	06/24/2015	06/24/2015	
Lactococcus phage asccphi28	NC_010363	-	-	18762 nt	28	-	bacteria	02/26/2008	04/17/2009	
Lactococcus phage bIL285	NC_002666	-	-	35538 nt	62	-	bacteria	02/15/2001	12/20/2007	
Lactococcus phage bIL286	NC_002667	-	-	41834 nt	61	-	bacteria	02/15/2001	02/10/2015	
Lactococcus phage bIL309	NC_002668	-	-	36949 nt	56	-	bacteria	02/15/2001	02/10/2015	
Lactococcus phage bIL310	NC_002669	-	-	14957 nt	29	-	bacteria	02/15/2001	02/10/2015	
Lactococcus phage bIL311	NC_002670	-	-	14510 nt	22	-	bacteria	02/15/2001	02/10/2015	
Lactococcus phage bIL312	NC_002671	-	-	15179 nt	27	-	bacteria	02/15/2001	02/10/2015	
Lactococcus phage jm2	NC_021860	-	-	31090 nt	59	-	bacteria	07/23/2013	07/23/2013	
Lactococcus phage jm3	NC_021854	-	-	28674 nt	52	-	bacteria	07/23/2013	07/23/2013	
Lactococcus phage phi7	NC_021855	-	-	32382 nt	57	-	bacteria	07/23/2013	07/23/2013	
Lactococcus phage phiL47	NC_023574	-	-	128546 nt	189	-	bacteria	03/04/2014	03/06/2014	
Lactococcus phage phiLC3	NC_005822	strain:IMN-C3	-	32172 nt	51	-	bacteria	03/20/2004	04/17/2009	
Lactococcus phage r1t	NC_004302	-	-	33350 nt	50	-	bacteria	06/05/1996	07/19/2016	
Lactococcus phage ul36	NC_004066	-	-	36798 nt	61	5	bacteria	07/06/2002	04/17/2009	
Lactococcus virus 712	NC_008370	-	-	30510 nt	55	-	bacteria	09/25/2006	01/09/2009	
Lactococcus virus ASCC191	NC_017688	-	-	32414 nt	59	-	bacteria	04/13/2012	01/05/2016	
Lactococcus virus Bibb29	NC_011046	-	-	29305 nt	54	-	bacteria	07/11/2008	07/23/2008	
Lactococcus virus CB13	NC_013155	-	-	32182 nt	55	-	bacteria	08/26/2009	01/15/2016	
Lactococcus virus CB14	NC_013152	-	-	29459 nt	52	-	bacteria	08/30/2009	01/15/2016	
Lactococcus virus KSY1	NC_009817	-	-	79232 nt	130	-	bacteria	09/18/2007	04/17/2009	
Lactococcus virus P008	NC_008363	-	-	28538 nt	58	-	bacteria	09/22/2006	08/20/2013	
Lactococcus virus Sl4	NC_028900	-	-	28144 nt	52	-	bacteria	01/05/2016	01/06/2016	
Lactococcus virus bIL170	NC_001909	-	-	31754 nt	64	-	bacteria	07/01/1998	08/20/2013	
Lactococcus virus bIL67	NC_001629	-	-	22195 nt	37	-	bacteria	08/04/1994	12/15/2011	
Lactococcus virus c2	NC_001706	-	-	22172 nt	39	-	bacteria	01/03/1996	02/10/2015	
Lactococcus virus jj50	NC_008371	-	-	27453 nt	49	-	bacteria	09/25/2006	01/09/2009	
Lactococcus virus sk1	NC_001835	-	-	28451 nt	56	1	bacteria	09/11/1997	05/06/2009	
Lelliottia phage phD2B	NC_025450	-	-	44366 nt	49	-	bacteria	11/10/2014	02/04/2015	
Leuconostoc phage 1-A4	NC_027987	-	-	29508 nt	50	-	bacteria	10/08/2015	10/08/2015	
Leuconostoc phage Lmd1	NC_018273	-	-	26201 nt	40	-	bacteria	08/06/2012	08/06/2012	
Leuconostoc phage Ln-8	NC_027377	-	-	28921 nt	45	-	bacteria	06/24/2015	06/24/2015	
Leuconostoc phage Ln-9	NC_027358	-	-	28527 nt	48	-	bacteria	06/24/2015	06/24/2015	
Leuconostoc phage P793	NC_020880	-	-	26769 nt	38	-	bacteria	04/01/2013	05/10/2013	
Leuconostoc phage phiLN03	NC_024390	-	-	26752 nt	39	-	bacteria	06/24/2014	06/24/2014	
Leuconostoc phage phiLN04	NC_020870	-	-	25865 nt	39	-	bacteria	04/01/2013	05/10/2013	
Leuconostoc phage phiLN12	NC_024385	-	-	28193 nt	41	-	bacteria	06/24/2014	06/24/2014	
Leuconostoc phage phiLN25	NC_024386	-	-	28427 nt	41	-	bacteria	06/24/2014	06/24/2014	
Leuconostoc phage phiLN34	NC_024388	-	-	28022 nt	41	-	bacteria	06/24/2014	06/24/2014	
Leuconostoc phage phiLN6B	NC_024380	-	-	25740 nt	39	-	bacteria	06/24/2014	06/24/2014	
Leuconostoc phage phiLNTR2	NC_024389	-	-	28336 nt	42	-	bacteria	06/24/2014	06/24/2014	
Leuconostoc phage phiLNTR3	NC_024378	-	-	28015 nt	41	-	bacteria	06/24/2014	06/24/2014	
Liberibacter phage SC1	NC_019549	-	-	40048 nt	40	-	bacteria	11/21/2012	11/21/2012	
Liberibacter phage SC2	NC_019550	-	-	38997 nt	47	1	bacteria	11/21/2012	11/21/2012	
Listeria phage 2389	NC_003291	sub-species:Bacteriophage PSA	-	37618 nt	59	-	bacteria	12/06/2001	03/19/2009	
Listeria phage A006	NC_009815	-	-	38124 nt	62	-	bacteria	09/18/2007	11/23/2009	
Listeria phage A118	NC_003216	-	-	40834 nt	72	-	bacteria	09/01/1999	12/19/2007	
Listeria phage A500	NC_009810	-	-	38867 nt	63	-	bacteria	09/18/2007	11/23/2009	
Listeria phage B025	NC_009812	-	-	42653 nt	65	-	bacteria	09/18/2007	11/23/2009	
Listeria phage B054	NC_009813	-	-	48172 nt	80	-	bacteria	09/18/2007	11/23/2009	
Listeria phage LMSP-25	NC_024360	strain:LMSP-25	-	138036 nt	187	3	bacteria	06/23/2014	06/23/2014	
Listeria phage LMTA-148	NC_024787	-	-	132541 nt	177	-	bacteria	09/09/2014	09/09/2014	
Listeria phage LP-026	NC_024375	-	-	67150 nt	114	-	bacteria	06/24/2014	07/23/2014	
Listeria phage LP-030-2	NC_021539	-	-	38275 nt	69	-	bacteria	06/20/2013	07/30/2014	
Listeria phage LP-030-3	NC_024384	-	-	41156 nt	73	-	bacteria	06/24/2014	07/23/2014	
Listeria phage LP-037	NC_021787	-	-	64756 nt	114	-	bacteria	07/23/2013	07/31/2014	
Listeria phage LP-048	NC_024359	-	-	133048 nt	177	-	bacteria	06/24/2014	07/23/2014	
Listeria phage LP-083-2	NC_024383	-	-	135831 nt	189	3	bacteria	06/24/2014	07/23/2014	
Listeria phage LP-101	NC_024387	-	-	43767 nt	70	-	bacteria	06/24/2014	07/23/2014	
Listeria phage LP-110	NC_021785	-	-	65132 nt	113	-	bacteria	07/23/2013	07/31/2014	
Listeria phage LP-114	NC_024392	-	-	66676 nt	116	-	bacteria	06/24/2014	07/23/2014	
Listeria phage LP-125	NC_021781	-	-	135281 nt	189	3	bacteria	07/22/2013	07/31/2014	
Listeria phage List-36	NC_024364	strain:List-36	-	131952 nt	174	-	bacteria	06/23/2014	06/23/2014	
Listeria phage P35	NC_009814	-	-	35822 nt	56	-	bacteria	09/18/2007	11/23/2009	
Listeria phage P40	NC_011308	-	-	35638 nt	62	-	bacteria	09/30/2008	11/23/2009	
Listeria phage P70	NC_018831	-	-	67170 nt	119	-	bacteria	10/15/2012	11/05/2012	
Listeria phage WIL-1	NC_025440	-	-	134369 nt	38	-	bacteria	11/25/2014	11/25/2014	
Listeria phage vB_LmoM_AG20	NC_020871	-	-	133057 nt	178	-	bacteria	04/01/2013	04/14/2013	
Listeria phage vB_LmoS_188	NC_028871	-	-	38392 nt	60	-	bacteria	01/05/2016	01/05/2016	
Listeria phage vB_LmoS_293	NC_028929	-	-	40759 nt	72	-	bacteria	01/05/2016	01/05/2016	
Listeria virus A511	NC_009811	-	-	137619 nt	190	-	bacteria	09/18/2007	03/18/2013	
Listonella phage phiHSIC	NC_006953	-	-	37966 nt	47	-	bacteria	04/07/2005	01/09/2009	
Loktanella phage pCB2051-A	NC_020853	strain:pCB2051-A	-	56958 nt	76	-	bacteria	03/30/2013	03/30/2013	
Mannheimia phage vB_MhM_3927AP2	NC_028766	-	-	33755 nt	50	-	bacteria	01/05/2016	01/05/2016	
Mannheimia phage vB_MhM_587AP1	NC_028898	-	-	35764 nt	51	1	bacteria	01/05/2016	01/05/2016	
Mannheimia phage vB_MhS_1152AP2	NC_028956	-	-	52139 nt	79	-	bacteria	01/05/2016	01/05/2016	
Mannheimia phage vB_MhS_535AP2	NC_028853	-	-	50078 nt	79	-	bacteria	01/05/2016	01/05/2016	
Mannheimia phage vB_MhS_587AP2	NC_028743	-	-	48594 nt	77	-	bacteria	12/27/2015	12/27/2015	
Mannheimia virus PHL101	NC_008201	strain:Bacteriophage phi-MhaA1-PHL101	-	34525 nt	49	-	bacteria	06/20/2006	03/26/2010	
Marine gokushovirus	NC_022790	isolate:GOM	-	4129 nt	6	4	bacteria	11/12/2013	01/10/2014	
Marinomonas phage P12026	NC_018269	-	-	31766 nt	54	-	bacteria	08/06/2012	08/06/2012	
Mesorhizobium phage vB_MloP_Lo5R7ANS	NC_025431	-	-	45718 nt	64	-	bacteria	11/10/2014	11/10/2014	
Microbacterium phage Min1	NC_009603	-	-	46365 nt	77	-	bacteria	06/27/2007	12/10/2008	
Microbacterium phage vB_MoxS-ISF9	NC_023859	-	-	59254 nt	120	-	bacteria	03/31/2014	09/24/2014	
Microcystis phage MaMV-DC	NC_029002	-	-	169223 nt	170	-	bacteria	01/05/2016	01/05/2016	
Microcystis virus Ma-LMM01	NC_008562	-	-	162109 nt	184	-	bacteria	11/03/2006	03/29/2016	
Microviridae Bog1249_12	NC_027634	isolate:Bog1249_12	-	4451 nt	6	1	bacteria	07/28/2015	07/28/2015	
Microviridae Bog5275_51	NC_027635	isolate:Bog5275_51	-	4815 nt	5	-	bacteria	07/28/2015	07/28/2015	
Microviridae Bog9017_22	NC_027638	isolate:Bog9017_22	-	4671 nt	4	-	bacteria	07/28/2015	07/28/2015	
Microviridae Fen2266_11	NC_027639	isolate:Fen2266_11	-	4366 nt	5	-	bacteria	07/28/2015	07/28/2015	
Microviridae Fen418_41	NC_027640	isolate:Fen418_41	-	4949 nt	5	-	bacteria	07/28/2015	07/28/2015	
Microviridae Fen4707_41	NC_027641	isolate:Fen4707_41	-	4552 nt	6	-	bacteria	07/28/2015	07/28/2015	
Microviridae Fen685_11	NC_027643	isolate:Fen685_11	-	4654 nt	5	-	bacteria	07/28/2015	07/28/2015	
Microviridae Fen7786_21	NC_027644	isolate:Fen7786_21	-	4686 nt	5	-	bacteria	07/28/2015	07/28/2015	
Microviridae Fen7895_21	NC_027646	isolate:Fen7895_21	-	4424 nt	5	-	bacteria	07/28/2015	07/28/2015	
Microviridae Fen7918_21	NC_027647	isolate:Fen7918_21	-	4199 nt	5	-	bacteria	07/28/2015	07/28/2015	
Microviridae Fen7940_21	NC_027648	isolate:Fen7940_21	-	4453 nt	5	-	bacteria	07/28/2015	07/28/2015	
Microviridae IME-16	NC_026013	strain:IME-16; isolate:swab	-	5755 nt	7	-	bacteria	01/07/2015	01/07/2015	
Microviridae phi-CA82	NC_015785	strain:CA82	-	5514 nt	10	-	bacteria	07/03/2012	07/03/2012	
Morganella phage MmP1	NC_011085	-	-	38457 nt	49	-	bacteria	07/26/2008	10/05/2017	
Morganella phage vB_MmoM_MP1	NC_031020	-	-	163201 nt	271	-	bacteria	09/23/2016	09/23/2016	
Morganella phage vB_MmoP_MP2	NC_031115	-	-	39616 nt	55	-	bacteria	09/23/2016	09/23/2016	
Mycobacterium phage 20ES	NC_023597	-	-	53124 nt	96	-	bacteria	03/04/2014	12/07/2017	
Mycobacterium phage 32HC	NC_023602	-	-	50781 nt	86	-	bacteria	03/04/2014	06/18/2014	
Mycobacterium phage 39HC	NC_023603	-	-	71565 nt	100	1	bacteria	03/04/2014	03/04/2014	
Mycobacterium phage 40AC	NC_023607	-	-	53396 nt	90	-	bacteria	03/04/2014	12/07/2017	
Mycobacterium phage Abrogate	NC_028920	-	-	52530 nt	91	-	bacteria	01/05/2016	01/05/2016	
Mycobacterium phage Adawi	NC_022328	-	-	70236 nt	98	-	bacteria	09/12/2013	10/07/2016	
Mycobacterium phage Adler	NC_023591	-	-	95705 nt	125	1	bacteria	03/04/2014	03/04/2014	
Mycobacterium phage Adzzy	NC_022058	-	-	52519 nt	96	-	bacteria	08/14/2013	12/07/2017	
Mycobacterium phage Aeneas	NC_023723	-	-	53684 nt	99	-	bacteria	03/11/2014	10/07/2016	
Mycobacterium phage Akoma	NC_023742	strain:Akoma	-	68711 nt	104	2	bacteria	04/10/2014	04/10/2014	
Mycobacterium phage Alice	NC_028986	strain:Alice	-	153401 nt	222	-	bacteria	01/05/2016	01/05/2016	
Mycobacterium phage Alsfro	NC_023862	-	-	52136 nt	98	-	bacteria	03/31/2014	03/31/2014	
Mycobacterium phage Alvin	NC_026583	-	-	49577 nt	86	-	bacteria	03/04/2015	03/04/2015	
Mycobacterium phage Angel	NC_012788	-	-	41441 nt	61	6	bacteria	06/09/2009	01/08/2010	
Mycobacterium phage AnnaL29	NC_022087	-	-	53253 nt	96	-	bacteria	08/17/2013	12/07/2017	
Mycobacterium phage Anubis	NC_029018	-	-	50856 nt	95	-	bacteria	01/05/2016	12/07/2017	
Mycobacterium phage Apizium	NC_028691	-	-	68227 nt	100	-	bacteria	12/17/2015	12/17/2015	
Mycobacterium phage ArcherNM	NC_031277	-	-	52561 nt	91	-	bacteria	09/27/2016	12/07/2017	
Mycobacterium phage ArcherS7	NC_021348	-	-	156558 nt	237	5	bacteria	06/03/2013	07/15/2013	
Mycobacterium phage Archie	NC_028878	-	-	76271 nt	128	-	bacteria	01/05/2016	01/05/2016	
Mycobacterium phage Ariel	NC_028876	-	-	109800 nt	245	-	bacteria	01/05/2016	01/05/2016	
Mycobacterium phage Artemis2UCLA	NC_022977	-	-	52344 nt	102	1	bacteria	12/04/2013	12/07/2017	
Mycobacterium phage Astraea	NC_021349	-	-	154872 nt	232	5	bacteria	06/03/2013	07/15/2013	
Mycobacterium phage BTCU-1	NC_021533	-	-	45942 nt	73	-	bacteria	06/20/2013	07/15/2013	
Mycobacterium phage Bactobuster	NC_031279	-	-	52129 nt	87	-	bacteria	09/27/2016	12/07/2017	
Mycobacterium phage Badfish	NC_028682	-	-	69030 nt	102	10	bacteria	12/17/2015	12/17/2015	
Mycobacterium phage Baee	NC_028742	-	-	70270 nt	96	-	bacteria	12/27/2015	12/27/2015	
Mycobacterium phage Bane1	NC_022331	-	-	69309 nt	94	1	bacteria	09/12/2013	10/07/2016	
Mycobacterium phage Barnyard	NC_004689	-	-	70797 nt	109	-	bacteria	04/05/2003	05/06/2009	
Mycobacterium phage BarrelRoll	NC_023747	strain:BarrelRoll	-	59672 nt	95	-	bacteria	04/10/2014	04/10/2014	
Mycobacterium phage Barriga	NC_028804	-	-	52643 nt	101	-	bacteria	01/05/2016	06/21/2016	
Mycobacterium phage BellusTerra	NC_023562	-	-	51236 nt	89	3	bacteria	03/04/2014	12/07/2017	
Mycobacterium phage Bernal13	NC_024135	-	-	42392 nt	60	-	bacteria	05/27/2014	05/27/2014	
Mycobacterium phage Bernardo	NC_022983	-	-	68196 nt	100	-	bacteria	12/04/2013	05/17/2017	
Mycobacterium phage BigNuz	NC_023692	-	-	48984 nt	82	-	bacteria	03/11/2014	11/08/2017	
Mycobacterium phage Bipolar	NC_028823	-	-	58985 nt	106	-	bacteria	01/05/2016	01/05/2016	
Mycobacterium phage Bipper	NC_031253	-	-	77832 nt	135	-	bacteria	09/27/2016	09/27/2016	
Mycobacterium phage Blue7	NC_023713	strain:Blue7	-	52288 nt	103	-	bacteria	03/11/2014	12/07/2017	
Mycobacterium phage Bobi	NC_022055	-	-	59179 nt	107	-	bacteria	08/14/2013	08/15/2013	
Mycobacterium phage Breeniome	NC_029044	-	-	154434 nt	236	5	bacteria	01/14/2016	01/14/2016	
Mycobacterium phage Brocalys	NC_031262	-	-	54751 nt	96	-	bacteria	09/27/2016	09/27/2016	
Mycobacterium phage BrownCNA	NC_028968	-	-	71214 nt	97	-	bacteria	01/05/2016	01/05/2016	
Mycobacterium phage Bruin	NC_022988	-	-	74210 nt	141	-	bacteria	12/04/2013	05/17/2017	
Mycobacterium phage Brusacoram	NC_028747	-	-	47618 nt	78	-	bacteria	01/05/2016	11/08/2017	
Mycobacterium phage Butters	NC_021061	-	-	41491 nt	66	-	bacteria	04/16/2013	04/16/2013	
Mycobacterium phage BuzzLyseyear	NC_026593	-	-	59419 nt	110	-	bacteria	03/04/2015	03/04/2015	
Mycobacterium phage Bxz1	NC_004687	-	-	156102 nt	225	5	bacteria	04/05/2003	10/09/2008	
Mycobacterium phage CASbig	NC_021324	-	-	53369 nt	97	-	bacteria	06/03/2013	07/15/2013	
Mycobacterium phage CRB1	NC_023606	-	-	52963 nt	94	-	bacteria	03/04/2014	12/07/2017	
Mycobacterium phage Cabrinians	NC_028678	-	-	56669 nt	101	-	bacteria	12/17/2015	03/09/2016	
Mycobacterium phage Cali	NC_011271	-	-	155372 nt	222	5	bacteria	09/18/2008	09/18/2008	
Mycobacterium phage Cambiare	NC_028922	-	-	45161 nt	67	-	bacteria	01/05/2016	01/05/2016	
Mycobacterium phage CaptainTrips	NC_028842	-	-	57328 nt	107	-	bacteria	01/05/2016	01/05/2016	
Mycobacterium phage Carcharodon	NC_028779	-	-	43680 nt	71	2	bacteria	01/05/2016	01/05/2016	
Mycobacterium phage Catalina	NC_031238	-	-	53411 nt	101	1	bacteria	09/27/2016	12/07/2017	
Mycobacterium phage Catdawg	NC_022057	-	-	72108 nt	128	-	bacteria	08/14/2013	08/15/2013	
Mycobacterium phage Catera	NC_008207	-	-	153766 nt	218	5	bacteria	06/21/2006	12/19/2007	
